"territory","num_economactivepopulation_all","employed_num_all","unemployed_num_all","eactivity_lvl","employment_lvl","unemployment_lvl","dis_unagegroup_to20","dis_unagegroup_20-29","dis_unagegroup_30-39","dis_unagegroup_40-49","dis_unagegroup_50-59","dis_unagegroup_60older","dis_emagegroup_to20","dis_emagegroup_20-29","dis_emagegroup_30-39","dis_emagegroup_40-49","dis_emagegroup_50-59","dis_emagegroup_60older","num_unagegroup_to20","num_unagegroup_20-29","num_unagegroup_30-39","num_unagegroup_40-49","num_unagegroup_50-59","num_unagegroup_60older","num_emagegroup_to20","num_emagegroup_20-29","num_emagegroup_30-39","num_emagegroup_40-49","num_emagegroup_50-59","num_emagegroup_60older","year"
"Тверская область","733.0","701.9","31.1","67.7","64.9","4.2","10.7","27.0","13.2","20.6","21.9","6.5","1.8","23.0","22.6","28.2","20.5","4.0","3.3","8.4","4.1","6.4","6.8","2.0","12.6","161.4","158.6","197.9","143.9","28.1",2007
"Тульская область","818.7","797.5","21.2","65.8","64.1","2.6","6.7","26.0","13.9","44.7","8.8","0.0","1.7","22.0","24.4","26.9","21.7","3.3","1.4","5.5","2.9","9.5","1.9","0.0","13.6","175.5","194.6","214.5","173.1","26.3",2007
"Ярославская область","705.4","681.6","23.8","67.4","65.2","3.4","4.2","33.5","17.1","28.1","13.8","3.4","0.9","21.6","24.5","26.9","21.8","4.3","1.0","8.0","4.1","6.7","3.3","0.8","6.1","147.2","167.0","183.4","148.6","29.3",2007
"г. Москва","6059.9","6013.0","46.9","71.4","70.9","0.8","5.2","66.5","12.9","5.5","9.1","0.8","0.3","19.4","26.2","29.3","21.4","3.5","2.4","31.2","6.1","2.6","4.3","0.4","18.0","1166.5","1575.4","1761.8","1286.8","210.5",2007
"Северо-Западный федеральный округ","7640.2","7317.0","323.2","70.4","67.5","4.2","11.6","30.7","19.2","21.1","14.8","2.6","1.7","23.2","23.3","26.8","20.7","4.3","37.5","99.2","62.1","68.2","47.8","8.4","124.4","1697.5","1704.9","1961.0","1514.6","314.6",2007
"Республика Карелия","381.2","357.6","23.6","68.8","64.6","6.2","14.5","29.3","15.5","26.0","10.1","4.7","1.6","24.2","25.1","27.2","19.8","2.1","3.4","6.9","3.7","6.1","2.4","1.1","5.7","86.5","89.8","97.3","70.8","7.5",2007
"Республика Коми","547.2","492.3","54.9","69.7","62.7","10.0","8.9","31.0","17.6","28.5","13.4","0.5","1.9","26.4","26.0","27.2","16.0","2.5","4.9","17.0","9.7","15.6","7.4","0.3","9.4","130.0","128.0","133.9","78.8","12.3",2007
"Архангельская область","694.2","655.4","38.8","68.3","64.5","5.6","19.5","27.5","19.2","20.6","13.0","0.2","2.4","25.8","24.2","26.4","18.2","3.0","7.6","10.7","7.4","8.0","5.0","0.1","15.7","169.1","158.6","173.0","119.3","19.7",2007
"Ненецкий автономный округ","22.9","21.4","1.5","71.4","66.9","6.4","7.3","29.3","28.1","23.9","5.7","5.7","2.7","24.2","23.4","28.3","18.8","2.7","0.1","0.4","0.4","0.4","0.1","0.1","0.6","5.2","5.0","6.1","4.0","0.6",2007
"Вологодская область","661.5","634.5","27.0","69.0","66.2","4.1","10.4","12.1","20.1","35.7","21.7","0.0","2.0","25.3","22.5","28.0","20.1","2.0","2.8","3.3","5.4","9.6","5.9","0.0","12.7","160.5","142.8","177.7","127.5","12.7",2007
"Калининградская область","520.2","502.5","17.8","69.2","66.8","3.4","7.7","29.8","20.2","14.7","22.0","5.6","2.9","23.1","22.7","24.7","20.1","6.6","1.4","5.3","3.6","2.6","3.9","1.0","14.6","116.1","114.1","124.1","101.0","33.2",2007
"Ленинградская область","919.5","882.4","37.0","70.0","67.2","4.0","7.0","31.9","22.0","14.2","19.3","5.5","2.3","21.6","22.3","27.5","21.5","4.8","2.6","11.8","8.1","5.3","7.1","2.0","20.3","190.6","196.8","242.7","189.7","42.4",2007
"Мурманская область","500.6","467.9","32.6","70.7","66.1","6.5","11.0","26.7","29.8","15.9","13.3","3.3","1.8","24.6","24.9","27.8","18.2","2.7","3.6","8.7","9.7","5.2","4.3","1.1","8.4","115.1","116.5","130.1","85.2","12.6",2007
"Новгородская область","338.0","320.5","17.5","65.6","62.2","5.2","5.0","34.6","15.2","20.3","19.0","5.9","1.8","22.4","22.7","28.0","21.1","3.9","0.9","6.1","2.7","3.6","3.3","1.0","5.8","71.8","72.8","89.7","67.6","12.5",2007
"Псковская область","368.5","350.3","18.2","66.0","62.7","4.9","5.0","35.8","11.6","24.2","22.2","1.2","1.2","20.9","23.4","28.5","21.6","4.3","0.9","6.5","2.1","4.4","4.0","0.2","4.2","73.2","82.0","99.8","75.7","15.1",2007
"г. Санкт-Петербург","709.3","2653.5","55.8","73.5","72.0","2.1","17.3","41.1","17.0","13.8","7.8","3.0","1.1","22.1","22.7","26.0","22.6","5.4","9.7","22.9","9.5","7.7","4.4","1.7","29.2","586.4","602.3","689.9","599.7","143.3",2007
"Южный федеральный округ","11196.8","9884.4","1312.3","64.2","56.7","11.7","8.6","37.1","22.4","21.9","9.3","0.8","2.2","23.7","24.3","27.2","18.4","4.2","112.9","486.9","294.0","287.4","122.0","10.5","217.5","2342.6","2401.9","2688.6","1818.7","415.1",2007
"Республика Адыгея","209.6","188.0","21.6","61.5","55.2","10.3","5.4","26.3","23.8","32.5","11.5","0.6","1.8","22.2","23.5","27.6","19.5","5.4","1.2","5.7","5.1","7.0","2.5","0.1","3.4","41.7","44.2","51.9","36.7","10.2",2007
"Республика Дагестан","1232.8","984.3","248.6","65.2","52.1","20.2","10.3","42.0","21.7","19.7","5.4","0.8","3.8","26.6","26.8","26.2","13.3","3.3","25.6","104.4","53.9","49.0","13.4","2.0","37.4","261.8","263.8","257.9","130.9","32.5",2007
"Республика Ингушетия","174.7","92.1","82.6","52.0","27.4","47.3","0.4","49.0","32.5","14.7","3.4","0.0","2.9","15.5","34.0","32.3","14.0","1.2","0.3","40.5","26.8","12.1","2.8","0.0","2.7","14.3","31.3","29.7","12.9","1.1",2007
"Кабардино-Балкарская Республика","426.6","351.7","74.9","62.2","51.3","17.6","1.9","39.0","28.7","23.6","5.1","1.7","2.1","24.7","24.0","28.6","16.6","4.0","1.4","29.2","21.5","17.7","3.8","1.3","7.4","86.9","84.4","100.6","58.4","14.1",2007
"Республика Калмыкия","142.9","122.4","20.5","65.4","56.0","14.4","3.4","24.6","18.5","35.7","17.8","0.0","2.2","21.6","23.6","32.4","17.9","2.4","0.7","5.0","3.8","7.3","3.6","0.0","2.7","26.4","28.9","39.7","21.9","2.9",2007
"Карачаево-Черкесская Республика","210.0","171.4","38.5","64.6","52.8","18.3","1.2","34.9","29.0","22.1","11.3","1.4","3.6","22.6","22.7","29.8","16.2","5.0","0.5","13.4","11.2","8.5","4.4","0.5","6.2","38.7","38.9","51.1","27.8","8.6",2007
"Республика Северная Осетия - Алания","315.7","285.2","43981.0","59.3","53.5","44021.0","10.8","38.8","14.8","24.3","8.9","2.3","0.4","23.7","26.4","27.9","16.1","5.5","4749.9","17064.6","6509.2","10687.4","3914.3","1011.6","1.1","67.6","75.3","79.6","45.9","15.7",2007
"Чеченская Республика","484.5","227.5","257.0","62.1","29.2","53.0","10.4","39.8","23.4","20.3","6.0","0.1","2.2","24.0","25.8","31.7","14.0","2.4","26.7","102.3","60.1","52.2","15.4","0.3","5.0","54.6","58.7","72.1","31.9","5.5",2007
"Краснодарский край","2553.1","2386.7","166.4","64.1","60.0","6.5","7.3","29.5","21.1","24.7","16.9","0.6","1.9","23.1","23.8","26.8","19.8","4.5","12.1","49.1","35.1","41.1","28.1","1.0","45.3","551.3","568.0","639.6","472.6","107.4",2007
"Ставропольский край","1363.6","1275.6","87.9","64.6","60.4","6.4","14.9","35.1","17.8","21.7","8.7","1.8","1.6","23.5","23.5","27.1","19.7","4.6","13.1","30.9","15.6","19.1","7.6","1.6","20.4","299.8","299.8","345.7","251.3","58.7",2007
"Астраханская область","522.2","475.7","46.6","67.7","61.6","8.9","5.2","38.3","17.4","23.4","15.7","0.0","1.7","24.1","24.2","27.0","19.6","3.5","2.4","17.8","8.1","10.9","7.3","0.0","8.1","114.6","115.1","128.4","93.2","16.6",2007
"Волгоградская область","1366.7","1278.7","88.0","66.2","61.9","6.4","7.9","36.6","20.5","26.3","7.8","0.9","2.2","23.0","24.0","26.5","20.4","3.9","7.0","32.2","18.0","23.1","6.9","0.8","28.1","294.1","306.9","338.9","260.9","49.9",2007
"Ростовская область","2194.2","2045.0","149.2","64.7","60.3","6.8","12.0","29.6","20.2","21.2","15.9","1.1","2.4","24.1","23.7","26.9","18.4","4.5","17.9","44.2","30.1","31.6","23.7","1.6","49.1","492.8","484.7","550.1","376.3","92.0",2007
"Приволжский федеральный округ","15929.1","14959.9","969.2","66.8","62.7","6.1","9.3","29.2","21.8","25.4","13.4","0.9","2.3","22.9","23.9","28.4","19.4","3.2","90.1","283.0","211.3","246.2","129.9","8.7","344.1","3425.8","3575.4","4248.6","2902.2","478.7",2007
"Республика Башкортостан","2029.1","1895.8","133.2","65.1","60.8","6.6","7.6","30.8","22.1","27.8","11.6","0.0","2.7","22.3","23.6","30.9","17.6","3.0","10.1","41.0","29.4","37.0","15.5","0.0","51.2","422.8","447.4","585.8","333.7","56.9",2007
"Республика Марий Эл","380.8","346.6","34.1","68.4","62.3","9.0","13.1","31.9","18.7","21.4","13.1","1.8","1.9","23.8","21.9","28.8","20.1","3.5","4.5","10.9","6.4","7.3","4.5","0.6","6.6","82.5","75.9","99.8","69.7","12.1",2007
"Республика Мордовия","455.2","438.9","16.3","67.7","65.3","3.6","1.9","52.6","15.7","13.6","16.2","0.0","1.5","18.9","24.9","29.9","21.0","3.8","0.3","8.6","2.6","2.2","2.6","0.0","6.6","83.0","109.3","131.2","92.2","16.7",2007
"Республика Татарстан","1925.9","1817.6","108.3","66.0","62.3","5.6","7.6","29.6","25.0","28.5","8.8","0.5","1.7","23.5","24.4","29.5","18.2","2.6","8.2","32.1","27.1","30.9","9.5","0.5","30.9","427.1","443.5","536.2","330.8","47.3",2007
"Удмуртская Республика","835.6","769.9","65.7","69.3","63.8","7.9","12.4","22.8","19.0","30.5","14.6","0.6","3.2","25.1","23.0","27.1","18.8","2.8","8.1","15.0","12.5","20.0","9.6","0.4","24.6","193.2","177.1","208.6","144.7","21.6",2007
"Чувашская Республика","679.0","619.1","59.9","67.5","61.6","8.8","9.9","30.6","20.6","26.0","12.9","0.0","3.7","22.1","25.1","27.8","17.1","4.2","5.9","18.3","12.3","15.6","7.7","0.0","22.9","136.8","155.4","172.1","105.9","26.0",2007
"Кировская область","781.4","735.1","46.3","69.4","65.3","5.9","10.0","25.0","16.6","26.3","19.9","2.3","2.8","24.4","21.7","27.7","19.4","4.1","4.6","11.6","7.7","12.2","9.2","1.1","20.6","179.4","159.5","203.6","142.6","30.1",2007
"Нижегородская область","1818.1","1735.6","82.5","68.0","64.9","4.5","13.0","23.4","24.2","22.3","16.8","0.3","2.3","23.4","23.2","27.8","19.9","3.4","10.7","19.3","20.0","18.4","13.9","0.2","39.9","406.1","402.7","482.5","345.4","59.0",2007
"Оренбургская область","1093.2","1015.0","78.2","65.7","61.0","7.2","6.6","34.6","24.2","27.2","7.4","0.0","2.8","24.3","23.0","28.5","18.2","3.3","5.2","27.1","18.9","21.3","5.8","0.0","28.4","246.6","233.5","289.3","184.7","33.5",2007
"Пензенская область","685.9","650.4","35.5","61.8","58.6","5.2","5.2","29.0","26.8","18.6","19.2","1.2","1.9","20.8","24.2","29.2","20.5","3.5","1.8","10.3","9.5","6.6","6.8","0.4","12.4","135.3","157.4","189.9","133.3","22.8",2007
"Пермский край","1436.1","1342.4","93.8","67.1","62.7","6.5","10.3","29.8","21.1","22.5","12.7","3.6","2.3","23.8","24.9","27.3","19.8","2.0","9.7","28.0","19.8","21.1","11.9","3.4","30.9","319.5","334.3","366.5","265.8","26.8",2007
"Самарская область","1790.2","1714.0","76.2","70.5","67.5","4.3","9.5","34.5","23.6","21.5","9.8","1.1","1.4","21.9","24.3","26.3","21.9","4.2","7.2","26.3","18.0","16.4","7.5","0.8","24.0","375.4","416.5","450.8","375.4","72.0",2007
"Саратовская область","1344.8","1237.3","107.5","65.1","59.9","8.0","10.4","26.0","20.8","23.9","17.9","1.0","2.5","22.7","24.4","27.6","19.5","3.2","11.2","28.0","22.4","25.7","19.2","1.1","30.9","280.9","301.9","341.5","241.3","39.6",2007
"Ульяновская область","673.7","642.2","31.5","63.9","60.9","4.7","7.3","22.5","15.3","35.2","19.8","0.0","1.2","21.6","24.5","29.9","20.4","2.4","2.3","7.1","4.8","11.1","6.2","0.0","7.7","138.7","157.3","192.0","131.0","15.4",2007
"Уральский федеральный округ","6534.2","6212.9","321.2","67.6","64.3","4.9","10.9","32.7","21.3","22.5","10.8","1.7","2.1","23.4","24.5","27.4","19.6","3.0","35.0","105.0","68.4","72.3","34.7","5.5","130.5","1453.8","1522.2","1702.3","1217.7","186.4",2007
"Курганская область","445.2","406.9","38.3","58.8","53.8","8.6","7.0","26.1","21.1","29.4","15.5","0.9","3.1","22.9","22.4","28.6","20.1","2.8","2.7","10.0","8.1","11.3","5.9","0.3","12.6","93.2","91.1","116.4","81.8","11.4",2007
"Свердловская область","2451.6","2322.7","128.9","70.3","66.6","5.3","11.4","30.6","26.1","18.2","12.2","1.5","2.7","25.4","22.8","24.9","20.0","4.2","14.7","39.4","33.6","23.5","15.7","1.9","62.7","590.0","529.6","578.4","464.5","97.6",2007
"Тюменская область","1888.8","1779.1","109.8","71.2","67.1","5.8","11.6","36.8","15.5","26.7","7.9","1.5","1.9","23.8","26.2","29.7","17.0","1.4","12.7","40.4","17.0","29.3","8.7","1.6","33.8","423.4","466.1","528.4","302.4","24.9",2007
"Ханты-Мансийский автономный округ","880.1","814.4","65.7","73.9","68.4","7.5","12.0","37.7","14.4","29.3","4.7","1.8","2.2","22.8","27.6","30.1","16.3","1.1","7.9","24.8","9.5","19.3","3.1","1.2","17.9","185.7","224.8","245.1","132.7","9.0",2007
"Ямало-Ненецкий автономный округ","318.7","310.1","8.6","75.1","73.1","2.7","5.2","45.2","19.8","22.4","7.3","0.0","0.6","20.8","28.3","32.5","16.7","1.1","0.4","3.9","1.7","1.9","0.6","0.0","1.9","64.5","87.8","100.8","51.8","3.4",2007
"Челябинская область","1748.5","1704.2","44.3","63.0","61.4","2.5","11.0","34.6","22.2","18.4","10.1","3.7","1.3","20.3","25.5","28.2","21.7","3.0","4.9","15.3","9.8","8.2","4.5","1.6","22.2","346.0","434.6","480.6","369.8","51.1",2007
"Сибирский федеральный округ","10143.9","9347.1","796.9","65.9","60.7","7.9","9.6","36.2","18.4","21.6","12.3","1.9","2.1","24.3","24.2","27.5","19.1","2.8","76.5","288.5","146.6","172.1","98.0","15.1","196.3","2271.3","2262.0","2570.5","1785.3","261.7",2007
"Республика Алтай","98.4","89.5","8.9","66.9","61.0","8.8",,"40.6","19.4","30.4","9.7",,"1.6","26.6","25.5","26.7","18.0","1.5","0.0","3.6","1.7","2.7","0.9","0.0","1.4","23.8","22.8","23.9","16.1","1.3",2007
"Республика Бурятия","458.0","398.9","59.1","62.0","54.0","12.9","10.2","43.2","13.4","20.7","11.7","0.8","3.1","25.8","24.2","27.6","16.5","2.7","6.0","25.5","7.9","12.2","6.9","0.5","12.4","102.9","96.5","110.1","65.8","10.8",2007
"Республика Тыва","131.1","108.7","22.4","59.4","49.3","17.1","10.3","44.5","22.8","16.6","5.5","0.4","4.1","24.1","31.7","27.2","10.1","2.9","2.3","10.0","5.1","3.7","1.2","0.1","4.5","26.2","34.5","29.6","11.0","3.2",2007
"Республика Хакасия","270.1","251.4","18.7","64.5","60.0","6.9","2.4","39.7","18.7","16.9","22.0","0.5","1.2","22.9","25.1","28.1","20.4","2.3","0.4","7.4","3.5","3.2","4.1","0.1","3.0","57.6","63.1","70.6","51.3","5.8",2007
"Алтайский край","1302.5","1217.6","84.8","65.4","61.1","6.5","4.1","31.2","20.5","27.5","15.8","0.9","2.0","22.7","23.7","28.6","20.7","2.2","3.5","26.5","17.4","23.3","13.4","0.8","24.4","276.4","288.6","348.2","252.0","26.8",2007
"Красноярский край","1555.0","1427.2","127.8","67.7","62.1","8.2","8.3","32.8","21.4","20.2","13.4","3.9","2.0","24.3","24.2","27.6","18.9","3.0","10.6","41.9","27.3","25.8","17.1","5.0","28.5","346.8","345.4","393.9","269.7","42.8",2007
"Иркутская область","1338.4","1229.6","108.8","68.1","62.6","8.1","16.6","36.2","19.3","16.3","9.5","2.1","2.7","24.3","24.6","26.3","18.8","3.3","18.1","39.4","21.0","17.7","10.3","2.3","33.2","298.8","302.5","323.4","231.2","40.6",2007
"Кемеровская область","1470.2","1377.9","92.2","65.9","61.8","6.3","10.4","34.6","18.5","23.3","10.5","2.7","1.7","25.0","23.8","27.5","19.2","2.8","9.6","31.9","17.1","21.5","9.7","2.5","23.4","344.5","327.9","378.9","264.6","38.6",2007
"Новосибирская область","1377.8","1280.0","97.8","65.7","61.0","7.1","7.3","38.9","14.3","23.8","14.6","1.1","1.5","21.9","24.6","28.0","21.1","2.9","7.1","38.0","14.0","23.3","14.3","1.1","19.2","280.3","314.9","358.4","270.1","37.1",2007
"Омская область","1045.6","962.3","83.3","65.4","60.1","8.0","13.3","38.6","13.2","20.6","11.4","2.8","2.5","24.8","23.9","28.6","17.6","2.5","11.1","32.2","11.0","17.2","9.5","2.3","24.1","238.7","230.0","275.2","169.4","24.1",2007
"Томская область","560.4","521.6","38.8","67.7","63.0","6.9","3.0","33.3","17.5","30.6","15.3","0.2","1.5","27.4","23.0","25.6","18.5","4.0","1.2","12.9","6.8","11.9","5.9","0.1","7.8","142.9","120.0","133.5","96.5","20.9",2007
"Читинская область","536.5","482.2","54.3","62.3","56.0","10.1","11.7","35.1","25.3","17.5","9.1","1.4","3.2","26.3","24.2","26.4","17.8","2.2","6.4","19.1","13.7","9.5","4.9","0.8","15.4","126.8","116.7","127.3","85.8","10.6",2007
"Дальневосточный федеральный округ","3523.6","3285.9","237.7","67.5","62.9","6.7","7.9","34.4","23.7","17.7","14.9","1.6","1.9","22.6","25.0","26.3","20.0","4.1","18.8","81.8","56.3","42.1","35.4","3.8","62.4","742.6","821.5","864.2","657.2","134.7",2007
"Республика Саха (Якутия)","493.9","456.3","37.6","68.7","63.5","7.6","11.4","36.1","23.4","18.6","9.6","1.0","2.5","20.5","25.3","29.6","18.1","4.0","4.3","13.6","8.8","7.0","3.6","0.4","11.4","93.5","115.4","135.1","82.6","18.3",2007
"Приморский край","1103.7","1026.0","77.7","67.7","63.0","7.0","7.8","25.6","23.8","23.0","18.6","1.2","2.0","22.7","24.3","24.9","20.5","5.6","6.1","19.9","18.5","17.9","14.5","0.9","20.5","232.9","249.3","255.5","210.3","57.5",2007
"Хабаровский край","756.1","711.6","44.4","66.3","62.4","5.9","7.6","44.5","12.9","17.7","15.2","2.1","1.0","23.7","26.5","25.5","19.4","3.8","3.4","19.8","5.7","7.9","6.7","0.9","7.1","168.6","188.6","181.5","138.1","27.0",2007
"Амурская область","443.1","414.9","28.2","63.7","59.7","6.4","3.9","41.1","40.0","6.9","7.6","0.5","2.7","24.0","24.1","26.5","20.0","2.6","1.1","11.6","11.3","1.9","2.1","0.1","11.2","99.6","100.0","109.9","83.0","10.8",2007
"Камчатский край","208.4","188.0","20.5","72.6","65.5","9.8","9.8","31.4","19.8","11.4","23.7","3.9","1.0","23.1","26.5","27.0","18.3","4.1","2.0","6.4","4.1","2.3","4.9","0.8","1.9","43.4","49.8","50.8","34.4","7.7",2007
"Магаданская область","102.7","96.8","5.9","73.4","69.2","5.7","6.1","29.2","32.6","27.1","5.1","0.0","0.4","20.7","24.2","27.8","25.3","1.6","0.4","1.7","1.9","1.6","0.3","0.0","0.4","20.0","23.4","26.9","24.5","1.5",2007
"Сахалинская область","295.3","281.5","13.7","69.4","66.2","4.7","7.7","43.5","19.0","12.2","16.0","1.4","2.5","21.8","24.7","26.6","21.2","3.1","1.1","6.0","2.6","1.7","2.2","0.2","7.0","61.4","69.5","74.9","59.7","8.7",2007
"Еврейская автономная область","87.5","79.0","8.5","59.4","53.7","9.7","4.1","26.6","38.4","16.2","10.9","3.7","1.3","21.8","23.0","26.4","23.4","4.1","0.3","2.3","3.3","1.4","0.9","0.3","1.0","17.2","18.2","20.9","18.5","3.2",2007
"Чукотский автономный округ","33.0","31.8","1.2","82.1","79.1","3.6","9.2","37.9","12.7","26.1","12.3","1.8","1.7","20.1","24.0","28.3","22.3","3.8","0.1","0.5","0.2","0.3","0.1","0.0","0.5","6.4","7.6","9.0","7.1","1.2",2007
"Российская Федерация","75657.7","69284.9","6372.8","67.8","62.1","8.4","6.5","35.9","20.8","19.8","14.9","2.0","1.3","23.2","24.5","26.4","20.6","4.0","414.2","2287.8","1325.5","1261.8","949.5","127.5","900.7","16074.1","16974.8","18291.2","14272.7","2771.4",2009
"Центральный федеральный округ","20180.0","19003.2","1176.9","68.5","64.5","5.8","7.0","33.6","21.2","20.4","15.4","2.5","0.9","21.2","24.7","27.0","21.9","4.2","82.4","395.4","249.5","240.1","181.2","29.4","171.0","4028.7","4693.8","5130.9","4161.7","798.1",2009
"Белгородская область","793.0","754.9","38.1","66.1","62.9","4.8","4.3","37.0","20.0","24.0","13.9","0.9","1.2","23.8","23.9","26.7","20.4","4.0","1.6","14.1","7.6","9.1","5.3","0.3","9.1","179.7","180.4","201.6","154.0","30.2",2009
"Брянская область","637.8","569.8","68.1","63.1","56.3","10.7","5.4","34.8","20.1","21.1","17.9","0.7","1.1","22.8","25.4","28.3","19.6","2.9","3.7","23.7","13.7","14.4","12.2","0.5","6.3","129.9","144.7","161.3","111.7","16.5",2009
"Владимирская область","754.8","688.4","66.4","66.4","60.5","8.8","7.2","28.1","20.5","26.2","15.5","2.5","1.6","24.0","24.0","26.0","20.7","3.7","4.8","18.7","13.6","17.4","10.3","1.7","11.0","165.2","165.2","179.0","142.5","25.5",2009
"Воронежская область","1141.1","1042.4","98.7","64.0","58.5","8.6","7.1","34.1","16.5","20.8","19.4","2.1","1.8","23.2","23.2","26.7","21.3","3.8","7.0","33.7","16.3","20.5","19.1","2.1","18.8","241.8","241.8","278.3","222.0","39.6",2009
"Ивановская область","550.6","491.2","59.4","65.1","58.1","10.8","9.3","30.5","20.4","24.8","12.4","2.6","1.4","23.7","24.3","26.5","20.2","3.8","5.5","18.1","12.1","14.7","7.4","1.5","6.9","116.4","119.4","130.2","99.2","18.7",2009
"Калужская область","565.5","530.5","34.9","71.4","67.0","6.2","15.8","33.6","13.4","16.5","18.8","1.9","1.1","22.1","22.5","26.2","22.5","5.5","5.5","11.7","4.7","5.8","6.6","0.7","5.8","117.2","119.4","139.0","119.4","29.2",2009
"Костромская область","371.7","340.9","30.7","68.6","62.9","8.3","9.5","31.2","25.0","12.4","19.7","2.2","1.4","23.4","22.2","27.7","21.7","3.6","2.9","9.6","7.7","3.8","6.0","0.7","4.8","79.8","75.7","94.4","74.0","12.3",2009
"Курская область","588.1","536.5","51.6","65.2","59.5","8.8","3.5","34.5","22.9","23.0","13.2","2.9","1.6","20.7","23.9","28.2","21.8","3.8","1.8","17.8","11.8","11.9","6.8","1.5","8.6","111.1","128.2","151.3","117.0","20.4",2009
"Липецкая область","609.8","575.5","34.3","66.7","62.9","5.6","6.8","28.9","21.8","21.6","20.6","0.3","1.0","21.3","24.7","28.1","21.8","3.1","2.3","9.9","7.5","7.4","7.1","0.1","5.8","122.6","142.1","161.7","125.5","17.8",2009
"Московская область","3738.6","3556.7","181.9","69.9","66.5","4.9","8.3","39.0","16.8","18.0","13.1","4.9","0.7","21.0","24.0","25.9","22.7","5.7","15.1","70.9","30.6","32.7","23.8","8.9","24.9","746.9","853.6","921.2","807.4","202.7",2009
"Орловская область","416.1","375.0","41.1","64.9","58.5","9.9","4.6","29.4","24.3","22.5","17.4","1.9","1.4","21.6","24.0","27.6","21.5","4.0","1.9","12.1","10.0","9.2","7.2","0.8","5.3","81.0","90.0","103.5","80.6","15.0",2009
"Рязанская область","574.8","522.0","52.8","63.3","57.5","9.2","5.4","34.5","14.4","20.9","19.1","5.7","1.0","22.6","25.2","26.6","20.3","4.4","2.9","18.2","7.6","11.0","10.1","3.0","5.2","118.0","131.5","138.9","106.0","23.0",2009
"Смоленская область","547.8","505.4","42.5","70.9","65.4","7.7","9.2","44.3","16.4","17.5","10.7","1.9","1.6","22.0","22.4","26.1","22.6","5.2","3.9","18.8","7.0","7.4","4.5","0.8","8.1","111.2","113.2","131.9","114.2","26.3",2009
"Тамбовская область","549.5","499.5","50.0","64.0","58.2","9.1","9.5","30.0","26.5","18.7","14.5","0.8","1.2","22.5","23.2","27.2","21.6","4.4","4.8","15.0","13.3","9.4","7.3","0.4","6.0","112.4","115.9","135.9","107.9","22.0",2009
"Тверская область","745.1","687.4","57.7","70.0","64.6","7.7","17.1","29.8","18.7","17.6","14.0","2.7","1.7","23.1","22.8","25.6","22.2","4.7","9.9","17.2","10.8","10.2","8.1","1.6","11.7","158.8","156.7","176.0","152.6","32.3",2009
"Тульская область","794.8","746.6","48.1","64.9","61.0","6.1","2.8","27.9","28.3","24.2","14.2","2.6","0.8","22.0","24.8","25.0","22.2","5.3","1.3","13.4","13.6","11.6","6.8","1.3","6.0","164.3","185.2","186.7","165.7","39.6",2009
"Ярославская область","719.3","661.8","57.5","69.4","63.9","8.0","5.6","33.3","21.1","21.6","16.7","1.6","1.2","23.2","23.9","25.2","21.8","4.7","3.2","19.1","12.1","12.4","9.6","0.9","7.9","153.5","158.2","166.8","144.3","31.1",2009
"г. Москва","6081.7","5918.7","163.1","71.6","69.7","2.7","2.4","32.4","30.4","19.1","13.8","1.8","0.3","18.9","26.7","28.4","22.2","3.5","3.9","52.8","49.6","31.2","22.5","2.9","17.8","1118.6","1580.3","1680.9","1314.0","207.2",2009
"Северо-Западный федеральный округ","7641.5","7103.4","538.1","71.1","66.1","7.0","6.6","34.3","20.4","19.3","16.2","3.1","1.2","23.4","23.6","25.6","21.2","4.9","35.5","184.6","109.8","103.9","87.2","16.7","85.2","1662.2","1676.4","1818.5","1505.9","348.1",2009
"Республика Карелия","375.4","337.8","37.5","68.6","61.7","10.0","3.8","35.6","26.1","20.7","11.2","2.7","1.2","25.5","24.5","26.6","19.1","3.1","1.4","13.4","9.8","7.8","4.2","1.0","4.1","86.1","82.8","89.9","64.5","10.5",2009
"Республика Коми","541.5","477.6","63.9","70.2","61.9","11.8","9.3","33.4","20.5","23.8","12.1","0.9","1.6","24.5","26.1","26.6","17.6","3.5","5.9","21.3","13.1","15.2","7.7","0.6","7.6","117.0","124.7","127.0","84.1","16.7",2009
"Архангельская область","678.4","629.8","48.7","67.8","63.0","7.2","5.0","34.9","18.2","22.6","15.4","3.9","1.3","24.7","24.9","26.8","19.3","3.0","2.4","17.0","8.9","11.0","7.5","1.9","8.2","155.6","156.8","168.8","121.6","18.9",2009
"Ненецкий автономный округ","23.5","21.2","2.3","73.3","66.2","9.7","8.2","44.4","19.8","18.6","6.3","2.7","2.2","21.7","24.1","26.8","21.7","3.6","0.2","1.0","0.5","0.4","0.1","0.1","0.5","4.6","5.1","5.7","4.6","0.8",2009
"Вологодская область","670.9","617.8","53.1","70.7","65.1","7.9","11.3","32.6","23.2","17.9","14.2","0.8","1.9","24.1","22.7","26.4","22.2","2.7","6.0","17.3","12.3","9.5","7.5","0.4","11.7","148.9","140.2","163.1","137.2","16.7",2009
"Калининградская область","515.8","459.5","56.3","68.7","61.2","10.9","5.9","26.8","21.3","20.9","22.2","2.9","1.5","22.4","23.6","25.6","21.3","5.7","3.3","15.1","12.0","11.8","12.5","1.6","6.9","102.9","108.4","117.6","97.9","26.2",2009
