"territory","num_economactivepopulation_all","employed_num_all","unemployed_num_all","eactivity_lvl","employment_lvl","unemployment_lvl","dis_unagegroup_to20","dis_unagegroup_20-29","dis_unagegroup_30-39","dis_unagegroup_40-49","dis_unagegroup_50-59","dis_unagegroup_60older","dis_emagegroup_to20","dis_emagegroup_20-29","dis_emagegroup_30-39","dis_emagegroup_40-49","dis_emagegroup_50-59","dis_emagegroup_60older","num_unagegroup_to20","num_unagegroup_20-29","num_unagegroup_30-39","num_unagegroup_40-49","num_unagegroup_50-59","num_unagegroup_60older","num_emagegroup_to20","num_emagegroup_20-29","num_emagegroup_30-39","num_emagegroup_40-49","num_emagegroup_50-59","num_emagegroup_60older","year"
"Тульская область","828.2","784.9","43.4","62.1","58.8","5.2","11.7","33.9","18.4","27.4","7.9","0.7","1.8","20.9","25.2","30.2","16.2","5.7","5.1","14.7","8.0","11.9","3.4","0.3","14.1","164.0","197.8","237.0","127.2","44.7",2001
"Ярославская область","728.3","676.3","52.0","66.9","62.1","7.1","6.1","24.4","21.2","27.6","16.2","4.4","2.2","21.4","25.6","29.4","16.0","5.4","3.2","12.7","11.0","14.4","8.4","2.3","14.9","144.7","173.1","198.8","108.2","36.5",2001
"г. Москва","4377.6","4284.7","92.9","66.0","64.6","2.1","4.9","30.9","26.0","19.3","13.9","4.9","0.8","17.9","25.5","31.2","18.9","5.7","4.6","28.7","24.2","17.9","12.9","4.6","34.3","767.0","1092.6","1336.8","809.8","244.2",2001
"Северо-Западный федеральный округ","7489.7","6912.1","577.6","66.5","61.3","7.7","9.2","29.5","22.4","26.6","10.3","2.1","1.8","21.6","26.7","30.8","14.7","4.4","53.1","170.4","129.4","153.6","59.5","12.1","124.4","1493.0","1845.5","2128.9","1016.1","304.1",2001
"Республика Карелия","395.0","360.8","34.2","66.4","60.6","8.7","14.0","22.6","28.3","25.1","9.4","0.5","2.5","24.9","26.7","30.7","11.8","3.4","4.8","7.7","9.7","8.6","3.2","0.2","9.0","89.8","96.3","110.8","42.6","12.3",2001
"Республика Коми","596.1","512.7","83.4","67.2","57.8","14.0","8.7","28.7","25.1","32.2","4.1","1.1","1.7","25.1","28.0","31.7","10.7","2.8","7.3","23.9","20.9","26.9","3.4","0.9","8.7","128.7","143.6","162.5","54.9","14.4",2001
"Архангельская область","759.2","692.7","66.6","67.6","61.6","8.8","14.7","31.1","21.4","21.1","10.4","1.4","2.8","23.9","26.3","32.4","12.1","2.4","9.8","20.7","14.3","14.1","6.9","0.9","19.4","165.6","182.2","224.4","83.8","16.6",2001
"Ненецкий автономный округ","24.1","22.4","1.7","71.4","66.2","7.2","13.9","21.4","24.7","21.4","13.4","5.2","2.9","23.7","25.1","33.1","11.6","3.6","0.2","0.4","0.4","0.4","0.2","0.1","0.6","5.3","5.6","7.4","2.6","0.8",2001
"Вологодская область","664.6","605.6","59.0","66.5","60.6","8.9","13.3","26.3","22.6","31.2","6.0","0.5","3.4","23.0","25.8","31.5","13.4","2.8","7.8","15.5","13.3","18.4","3.5","0.3","20.6","139.3","156.2","190.8","81.2","17.0",2001
"Калининградская область","446.3","403.6","42.8","60.2","54.5","9.6","5.5","34.0","18.9","25.1","16.5",,"0.9","18.8","29.2","29.2","16.8","5.2","2.4","14.6","8.1","10.7","7.1","0.0","3.6","75.9","117.9","117.9","67.8","21.0",2001
